year,month,day,hour,tempC,windspeedKmph,winddirDegree,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,uvIndex,totalSnow_cm
2024.0,12.0,6.0,0.0,13.0,32.0,250.0,4.7,94.0,7.0,1007.0,100.0,13.0,12.0,10.0,50.0,10.0,0.0,0.0
2024.0,12.0,6.0,100.0,12.0,28.0,293.0,0.0,71.0,10.0,1009.0,100.0,12.0,7.0,10.0,42.0,10.0,0.0,0.0
2024.0,12.0,6.0,200.0,12.0,30.0,295.0,0.0,68.0,10.0,1011.0,78.0,12.0,6.0,9.0,44.0,9.0,0.0,0.0
2024.0,12.0,6.0,300.0,11.0,26.0,294.0,0.0,65.0,10.0,1012.0,9.0,11.0,4.0,8.0,38.0,8.0,0.0,0.0
2024.0,12.0,6.0,400.0,10.0,25.0,290.0,0.0,68.0,10.0,1013.0,34.0,10.0,4.0,7.0,38.0,7.0,0.0,0.0
2024.0,12.0,6.0,500.0,9.0,23.0,291.0,0.0,73.0,10.0,1014.0,100.0,9.0,5.0,6.0,35.0,6.0,0.0,0.0
2024.0,12.0,6.0,600.0,9.0,21.0,293.0,0.0,74.0,10.0,1016.0,66.0,9.0,5.0,6.0,32.0,6.0,0.0,0.0
2024.0,12.0,6.0,700.0,9.0,19.0,290.0,0.0,74.0,10.0,1017.0,41.0,9.0,5.0,6.0,30.0,6.0,0.0,0.0
2024.0,12.0,6.0,800.0,9.0,19.0,283.0,0.0,74.0,10.0,1018.0,38.0,9.0,4.0,6.0,29.0,6.0,0.0,0.0
2024.0,12.0,6.0,900.0,8.0,19.0,284.0,0.0,75.0,10.0,1020.0,31.0,8.0,4.0,5.0,28.0,5.0,0.0,0.0
2024.0,12.0,6.0,1000.0,9.0,18.0,288.0,0.0,72.0,10.0,1020.0,4.0,9.0,4.0,6.0,26.0,6.0,0.0,0.0
2024.0,12.0,6.0,1100.0,9.0,18.0,294.0,0.0,67.0,10.0,1022.0,7.0,9.0,3.0,7.0,24.0,7.0,1.0,0.0
2024.0,12.0,6.0,1200.0,10.0,17.0,294.0,0.0,63.0,10.0,1022.0,6.0,10.0,3.0,7.0,21.0,7.0,1.0,0.0
2024.0,12.0,6.0,1300.0,10.0,18.0,285.0,0.0,61.0,10.0,1022.0,31.0,10.0,3.0,8.0,21.0,8.0,1.0,0.0
2024.0,12.0,6.0,1400.0,10.0,16.0,292.0,0.0,60.0,10.0,1022.0,34.0,10.0,3.0,8.0,20.0,8.0,1.0,0.0
2024.0,12.0,6.0,1500.0,10.0,13.0,287.0,0.0,60.0,10.0,1022.0,20.0,10.0,3.0,9.0,16.0,9.0,0.0,0.0
